"speciesEN","Band.ID","n_detections","n_sites","shannon_entropy","effective_n_sites","pielou_evenness","tideCategory"
"Bar-tailed Godwit","7176824",10118,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Bar-tailed Godwit","7394014",8,1,1.50816111763587,4.51841431774396,Inf,"All"
"Bar-tailed Godwit","7394017",52,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Bar-tailed Godwit","7394018",83,1,1.50816111763587,4.51841431774396,Inf,"All"
"Bar-tailed Godwit","7394019",110,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Bar-tailed Godwit","7394026",27302,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Bar-tailed Godwit","7394027",38295,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Bar-tailed Godwit","7394032",22844,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Bar-tailed Godwit","8345053",33376,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Curlew Sandpiper","4281407",63392,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Curlew Sandpiper","4281408",29949,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Curlew Sandpiper","4281409",55217,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Curlew Sandpiper","4281410",62300,5,1.50816111763587,4.51841431774396,0.937073189331632,"All"
"Curlew Sandpiper","4281420",66102,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
"Eurasian Whimbrel","8345054",4149,3,1.50816111763587,4.51841431774396,1.37278740934554,"All"
"Eurasian Whimbrel","8345055",1829,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Far Eastern Curlew","10118806",72053,2,1.50816111763587,4.51841431774396,2.17581656527482,"All"
"Masked Lapwing","8295845",99,1,1.50816111763587,4.51841431774396,Inf,"All"
"Pacific Golden-Plover","6318617",280693,6,1.50816111763587,4.51841431774396,0.841720746303983,"All"
